"id";"tiploc_code";"nalco";"tps_description";"stanox";"crs_code";"description";"geo_lat";"geo_lon";"is_public";"nalco_four";"atcocode";"is_station";"created_at";"updated_at";"latlon";"googlesrs"
11583;"BHAMNWS";"112700";"BIRMINGHAM NEW STREET";"65630";"BHM";"";52.4778167373214;-1.90020531550102;;"1127";"9100BHAMNWS";t;"2015-03-16 10:43:25.756919";"2015-03-16 10:43:25.756919";"0101000020E610000025325CB03D67FEBF6F234E19293D4A40";"010100002031BF0D0089E2E01A4FD209C1B276FA9092455A41"
11321;"BHAMSNH";"100600";"BIRMINGHAM SNOW HILL";"66409";"BSW";"";52.4833536081395;-1.89908842817893;;"1006";"9100BHAMSNH";t;"2015-03-16 10:43:25.629565";"2015-03-16 10:43:25.629565";"0101000020E61000004AD9338CAA62FEBF6FAEF187DE3D4A40";"010100002031BF0D00469B51746CCE09C19FAB66938F465A41"
18918;"BHILLPK";"691300";"BUSH HILL PARK";"51947";"BHK";"";51.6415168513051;-0.0692210720993178;;"6913";"9100BHILLPK";t;"2015-03-16 10:43:31.802532";"2015-03-16 10:43:31.802532";"0101000020E61000001E52DCE078B8B1BF1A1864391DD24940";"010100002031BF0D0092B4328DA719BEC030063B36B3B15941"
15977;"BICKLEY";"506300";"BICKLEY";"88478";"BKL";"";51.4001025158466;0.0452405823798347;;"5063";"9100BICKLEY";t;"2015-03-16 10:43:28.83344";"2015-03-16 10:43:28.83344";"0101000020E6100000F9F88B0BC629A73FE24D2A8F36B34940";"010100002031BF0D00E905999928ACB3403EF88BAE85875941"
17977;"BIGLSWD";"617000";"BIGGLESWADE";"45611";"BIW";"";52.0846781803236;-0.26118714587199;;"6170";"9100BIGLSWD";t;"2015-03-16 10:43:30.821373";"2015-03-16 10:43:30.821373";"0101000020E610000046F8694A4AB7D0BF5B960FBCD60A4A40";"010100002031BF0D00F156CB15CE64DCC0EA4B15B7B6FF5941"
15620;"BILBROK";"461800";"BILBROOK";"65035";"BBK";"";52.6237161938515;-2.18608769455589;;"4618";"9100BILBROK";t;"2015-03-16 10:43:28.539769";"2015-03-16 10:43:28.539769";"0101000020E6100000D671928B1B7D01C0F549A7EED54F4A40";"010100002031BF0D002F11165AD1B40DC1C04CE729A85F5A41"
18816;"BILERCY";"687100";"BILLERICAY";"50327";"BIC";"";51.6288819647947;0.418629663370928;;"6871";"9100BILERCY";t;"2015-03-16 10:43:31.692467";"2015-03-16 10:43:31.692467";"0101000020E61000006E125412D4CADA3F32EB47347FD04940";"010100002031BF0D004B1EB98234C1E64093C307AE7CAF5941"
16842;"BILSHST";"546400";"BILLINGSHURST";"87951";"BIG";"";51.015202765893;-0.450302180228989;;"5464";"9100BILSHST";t;"2015-03-16 10:43:29.581613";"2015-03-16 10:43:29.581613";"0101000020E610000013AA593CC0D1DCBFDB280B2AF2814940";"010100002031BF0D00E802DB19ED79E8C0175FD4D6BB445941"
18019;"BINGHAM";"623500";"BINGHAM";"55625";"BIN";"";52.9541890362456;-0.95154325519612;;"6235";"9100BINGHAM";t;"2015-03-16 10:43:30.861729";"2015-03-16 10:43:30.861729";"0101000020E6100000B67E39D70A73EEBF3570C8DD227A4A40";"010100002031BF0D0084AB5DF854DCF9C0966AE627109B5A41"
13227;"BIRCHWD";"230400";"BIRCHWOOD";"36716";"BWD";"";53.4127165396229;-2.52530782755423;;"2304";"9100BIRCHWD";t;"2015-03-16 10:43:26.696527";"2015-03-16 10:43:26.696527";"0101000020E6100000016D1D97D43304C06D1944E5D3B44A40";"010100002031BF0D002FBF03ED6F2811C1FDDF85CC3EEE5A41"
