"id";"atcocode";"common_name";"locality_name";"locality_qualifier";"created_at";"updated_at";"name";"lattitude";"longitude";"transport_type";"osm_id";"sms_code";"indicator";"bearing";"locality";"parent_locality";"status"
64320;"9400ZZCRBED1";"Beddington Lane Tram Stop";"Beddington Corner";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Beddington Lane Tram Stop";5138946;-14285;"tram";25279249;"";"";"";"Beddington Corner";"";"act"
64308;"9400ZZCRBEK1";"Beckenham Junction Tram Stop";"Beckenham";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Beckenham Junction Tram Stop";5141085;-2673;"tram";107262636;"";"";"";"Beckenham";"";"act"
64323;"9400ZZCRBGV1";"Belgrave Walk Tram Stop";"Morden (London)";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Belgrave Walk Tram Stop";5140082;-17817;"tram";1763991367;"";"";"";"Morden";"";"act"
64311;"9400ZZCRBIR1";"Birkbeck Tram Stop";"Anerley";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Birkbeck Tram Stop";5140375;-5580;"tram";107260025;"";"";"";"Anerley";"";"act"
64293;"9400ZZCRBLA1";"Blackhorse Lane Tram Stop";"Woodside (Croydon)";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Blackhorse Lane Tram Stop";5138499;-7022;"tram";21577771;"";"";"";"Woodside";"";"act"
64309;"9400ZZCRBRD1";"Beckenham Road Tram Stop";"Penge";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Beckenham Road Tram Stop";5140964;-4316;"tram";107262646;"";"";"";"Penge & Sydenham";"";"act"
64298;"9400ZZCRCEN1";"George Street Tram Stop";"Croydon (London)";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"George Street Tram Stop";5137390;-9891;"tram";83701443;"";"";"";"Croydon";"";"act"
64299;"9400ZZCRCHR1";"Church Street Tram Stop";"Croydon (London)";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Church Street Tram Stop";5137366;-10424;"tram";245736992;"";"";"";"Croydon";"";"act"
64318;"9400ZZCRCOO";"Coombe Lane Tram Stop";"Upper Shirley/London";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Coombe Lane Tram Stop";5135979;-5956;"tram";;"";"";"";"Upper Shirley";"";"act"
64305;"9400ZZCRCTR1";"Centrale Tram Stop";"Croydon (London)";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Centrale Tram Stop";5137587;-10378;"tram";312676581;"";"Platform 1";"";"Croydon";"";"act"
64327;"9400ZZCRDDR1";"Dundonald Road Tram Stop";"Wimbledon";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Dundonald Road Tram Stop";5141741;-20753;"tram";2864283848;"";"20027";"";"Wimbledon";"";"act"
64297;"9400ZZCRECR1";"East Croydon Tram Stop";"Croydon (London)";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"East Croydon Tram Stop";5137487;-9273;"tram";83701432;"";"";"";"Croydon";"";"act"
64290;"9400ZZCRELM1";"Elmers End";"Elmers End";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Elmers End";5139825;-4969;"tram";311222450;"";"";"";"Elmers End";"";"act"
64315;"9400ZZCRFLD1";"Fieldway Tram Stop";"Forestdale";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Fieldway Tram Stop";5135097;-2417;"tram";82626520;"";"";"";"Forestdale";"";"act"
64317;"9400ZZCRGRA1";"Gravel Hill Tram Stop";"Forestdale";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Gravel Hill Tram Stop";5135457;-4292;"tram";21622249;"";"";"";"Forestdale";"";"act"
64312;"9400ZZCRHAR1";"Harrington Road Tram Stop";"South Norwood";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Harrington Road Tram Stop";5139966;-6048;"tram";107260045;"";"20041";"";"South Norwood";"";"act"
64314;"9400ZZCRKGH";"King Henry's Drive Tram Stop";"New Addington";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"King Henry's Drive Tram Stop";5134536;-2029;"tram";;"";"";"";"New Addington";"";"act"
64296;"9400ZZCRLEB1";"Lebanon Road Tram Stop";"Addiscombe";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Lebanon Road Tram Stop";5137521;-8473;"tram";1763987970;"";"";"";"Addiscombe";"Croydon";"act"
64319;"9400ZZCRLOY1";"Lloyd Park Tram Stop";"South Croydon";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Lloyd Park Tram Stop";5136421;-8058;"tram";1803040291;"";"";"";"South Croydon";"Croydon";"act"
